"BehaviorSpace results (NetLogo 6.2.0)"
"temp.nlogo"
"gender-bias"
"12/14/2021 18:31:00:917 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","max-influencers","bias-type","total-users","max-connections","[step]","count users with [ color = green and visited = true ] / count turtles with [ visited = true ]","count users with [ visited = true and happy = true ] / count turtles with [ visited = true ]"
"59","15","gender-bias","500","25","1","0.18518518518518517","0.37037037037037035"
"62","15","gender-bias","500","25","2","0.36059479553903345","0.7509293680297398"
"62","15","gender-bias","500","25","3","0.37772397094430993","0.7457627118644068"
"62","15","gender-bias","500","25","4","0.3793103448275862","0.7629310344827587"
"62","15","gender-bias","500","25","5","0.38004246284501064","0.7664543524416136"
"62","15","gender-bias","500","25","6","0.3813559322033898","0.7669491525423728"
"62","15","gender-bias","500","25","7","0.38054968287526425","0.7653276955602537"
"63","15","gender-bias","500","25","0","0","0"
"63","15","gender-bias","500","25","1","0.189873417721519","0.3924050632911392"
"63","15","gender-bias","500","25","2","0.14285714285714285","0.32142857142857145"
"63","15","gender-bias","500","25","3","0.1417624521072797","0.3065134099616858"
"64","15","gender-bias","500","25","0","0","0"
"63","15","gender-bias","500","25","4","0.14705882352941177","0.3202614379084967"
"64","15","gender-bias","500","25","1","0.23684210526315788","0.42105263157894735"
"66","15","gender-bias","500","25","0","0","0"
"67","15","gender-bias","500","25","0","0","0"
"65","15","gender-bias","500","25","0","0","0"
"63","15","gender-bias","500","25","5","0.15976331360946747","0.32840236686390534"
"67","15","gender-bias","500","25","1","0.03333333333333333","0.16666666666666666"
"68","15","gender-bias","500","25","0","0","0"
"64","15","gender-bias","500","25","2","0.17454545454545456","0.32727272727272727"
"63","15","gender-bias","500","25","6","0.17270194986072424","0.34540389972144847"
"68","15","gender-bias","500","25","1","0.12941176470588237","0.2"
